Ref_A.csv,.csv,MARQNET\6989thompsz (Thompson, Zach),12/3/2021 9:04:01 AM,SPECTRONIC 200,- - -,- - -
nm,A
400,0.691222
400.5,0.694434
401,0.694649
401.5,0.697886
402,0.698753
402.5,0.701584
403,0.702239
403.5,0.704653
404,0.707744
404.5,0.710411
405,0.710634
405.5,0.710857
406,0.710634
406.5,0.711304
407,0.71287
407.5,0.714893
408,0.716699
408.5,0.716925
409,0.718285
409.5,0.719649
410,0.72262
410.5,0.725611
411,0.726536
411.5,0.726767
412,0.728623
412.5,0.728856
413,0.73002
413.5,0.730487
414,0.732359
414.5,0.734004
415,0.736127
415.5,0.737312
416,0.738261
416.5,0.739929
417,0.742321
417.5,0.744004
418,0.744969
418.5,0.747875
419,0.749092
419.5,0.74958
420,0.749336
420.5,0.751536
421,0.754734
421.5,0.756218
422,0.756962
422.5,0.756714
423,0.757707
423.5,0.758703
424,0.7597
424.5,0.763211
425,0.765989
425.5,0.767512
426,0.767258
426.5,0.767512
427,0.76853
427.5,0.771343
428,0.7734
428.5,0.776504
429,0.777544
429.5,0.778325
430,0.780415
430.5,0.78199
431,0.784362
431.5,0.787546
432,0.790217
432.5,0.793174
433,0.794796
433.5,0.796967
434,0.800245
434.5,0.803547
435,0.807433
435.5,0.81051
436,0.813044
436.5,0.815877
437,0.819587
437.5,0.824488
438,0.828274
438.5,0.837734
439,0.843148
439.5,0.84863
440,0.854182
440.5,0.858864
441,0.864549
441.5,0.871278
442,0.878112
442.5,0.883724
443,0.891773
443.5,0.898941
444,0.906228
444.5,0.912219
445,0.919374
445.5,0.936667
446,0.945387
446.5,0.954286
447,0.96457
447.5,0.974694
448,0.9859
448.5,0.995679
449,1.005243
449.5,1.014574
450,1.025949
450.5,1.037157
451,1.052566
451.5,1.06148
452,1.07263
452.5,1.096367
453,1.106238
453.5,1.118045
454,1.130182
454.5,1.145694
455,1.157391
455.5,1.170053
456,1.183759
456.5,1.198596
457,1.21254
457.5,1.225483
458,1.238824
458.5,1.251037
459,1.266803
459.5,1.282329
460,1.310691
460.5,1.323306
461,1.341035
461.5,1.357535
462,1.37366
462.5,1.388277
463,1.401209
463.5,1.413413
464,1.425969
464.5,1.440093
465,1.457175
465.5,1.473661
466,1.490797
466.5,1.500313
467,1.530178
467.5,1.546682
468,1.55752
468.5,1.573489
469,1.59346
469.5,1.61261
470,1.627088
470.5,1.642065
471,1.659556
471.5,1.67162
472,1.677781
472.5,1.688246
473,1.705534
473.5,1.725842
474,1.744727
474.5,1.764472
475,1.782516
475.5,1.801343
476,1.812479
476.5,1.832683
477,1.847712
477.5,1.860121
478,1.872895
478.5,1.88941
479,1.90309
479.5,1.91364
480,1.920819
480.5,1.939302
481,1.970616
481.5,1.978811
482,2.004365
482.5,2.017729
483,2.026872
483.5,2.036212
484,2.045757
484.5,2.055517
485,2.065502
485.5,2.091515
486,2.113509
486.5,2.124939
487,2.119186
487.5,2.130768
488,2.142668
488.5,2.148742
489,2.148742
489.5,2.161151
490,2.161151
490.5,2.173925
491,2.187087
491.5,2.19382
492,2.19382
492.5,2.200659
493,2.21467
493.5,2.221849
494,2.229148
494.5,2.221849
495,2.207608
495.5,2.207608
496,2.221849
496.5,2.229148
497,2.229148
497.5,2.221849
498,2.229148
498.5,2.21467
499,2.221849
499.5,2.221849
500,2.221849
500.5,2.229148
501,2.21467
501.5,2.229148
502,2.19382
502.5,2.173925
503,2.173925
503.5,2.187087
504,2.173925
504.5,2.180456
505,2.167491
505.5,2.161151
506,2.142668
506.5,2.124939
507,2.107905
507.5,2.102373
508,2.091515
508.5,2.086186
509,2.070581
509.5,2.055517
510,2.040959
510.5,2.036212
511,2.031517
511.5,2.031517
512,2.017729
512.5,2
513,1.982967
513.5,1.974694
514,1.966576
514.5,1.966576
515,1.950782
515.5,1.939302
516,1.917215
516.5,1.899629
517,1.89279
517.5,1.876148
518,1.866461
518.5,1.856985
519,1.860121
519.5,1.860121
520,1.850781
520.5,1.829738
521,1.809668
521.5,1.8041
522,1.79588
522.5,1.790485
523,1.777284
523.5,1.761954
524,1.752027
524.5,1.747147
525,1.735182
525.5,1.723538
526,1.709965
526.5,1.69897
527,1.686133
527.5,1.675718
528,1.669586
528.5,1.655608
529,1.645892
529.5,1.638272
530,1.628932
530.5,1.605548
531,1.596879
531.5,1.5867
532,1.576754
532.5,1.567031
533,1.549751
533.5,1.539102
534,1.528708
534.5,1.522879
535,1.510042
535.5,1.496209
536,1.481486
536.5,1.468521
537,1.457175
537.5,1.431798
538,1.419075
538.5,1.407823
539,1.392545
539.5,1.380907
540,1.364516
540.5,1.350665
541,1.337242
541.5,1.324222
542,1.308919
542.5,1.29073
543,1.274088
543.5,1.257275
544,1.243364
544.5,1.210419
545,1.192465
545.5,1.174574
546,1.157391
546.5,1.140862
547,1.124939
547.5,1.107905
548,1.089376
548.5,1.070581
549,1.053057
549.5,1.03574
550,1.019542
550.5,1.002177
551,0.98464
551.5,0.966174
552,0.931443
552.5,0.913284
553,0.894149
553.5,0.875496
554,0.857924
554.5,0.840433
555,0.822752
555.5,0.804931
556,0.787546
556.5,0.769296
557,0.752518
557.5,0.734946
558,0.720333
558.5,0.703774
559,0.670195
559.5,0.653647
560,0.637706
560.5,0.622148
561,0.606776
561.5,0.591421
562,0.576263
562.5,0.561616
563,0.546835
563.5,0.533429
564,0.519849
564.5,0.506821
565,0.493495
565.5,0.480303
566,0.454693
566.5,0.441892
567,0.430392
567.5,0.418278
568,0.407379
568.5,0.39599
569,0.385103
569.5,0.374585
570,0.363913
570.5,0.353989
571,0.343806
571.5,0.334231
572,0.325047
572.5,0.316773
573,0.299816
573.5,0.291409
574,0.283162
574.5,0.27556
575,0.267687
575.5,0.259874
576,0.252278
576.5,0.245652
577,0.238824
577.5,0.231732
578,0.224972
578.5,0.219107
579,0.213533
579.5,0.207959
580,0.196953
580.5,0.191519
581,0.18702
581.5,0.182038
582,0.177374
582.5,0.172566
583,0.167938
583.5,0.163233
584,0.159267
584.5,0.155461
585,0.151811
585.5,0.147764
586,0.144118
586.5,0.140682
587,0.134304
587.5,0.131238
588,0.128077
588.5,0.125402
589,0.122801
589.5,0.120274
590,0.117703
590.5,0.115205
591,0.112551
591.5,0.110586
592,0.108574
592.5,0.106571
593,0.104577
593.5,0.102483
594,0.099141
594.5,0.097943
595,0.096801
595.5,0.095501
596,0.094096
596.5,0.092857
597,0.091783
597.5,0.090819
598,0.089963
598.5,0.088949
599,0.087672
599.5,0.086345
600,0.085392
600.5,0.084811
601,0.084073
601.5,0.082705
602,0.08197
602.5,0.08155
603,0.081079
603.5,0.080974
604,0.080556
604.5,0.080451
605,0.080138
605.5,0.079929
606,0.079824
606.5,0.079668
607,0.07972
607.5,0.079668
608,0.079981
608.5,0.080138
609,0.080138
609.5,0.080138
610,0.080608
610.5,0.080765
611,0.081184
611.5,0.081341
612,0.082232
612.5,0.082705
613,0.082967
613.5,0.082967
614,0.083125
614.5,0.083178
615,0.083599
615.5,0.084284
616,0.084811
616.5,0.085816
617,0.086345
617.5,0.086769
618,0.087459
618.5,0.08831
619,0.089056
619.5,0.089589
620,0.089963
620.5,0.089963
621,0.09007
621.5,0.090551
622,0.090926
622.5,0.091515
623,0.092266
623.5,0.093449
624,0.094042
624.5,0.09469
625,0.09442
625.5,0.094636
626,0.09442
626.5,0.095068
627,0.095284
627.5,0.095717
628,0.095717
628.5,0.095501
629,0.09523
629.5,0.095014
630,0.095014
630.5,0.094366
631,0.09415
631.5,0.093665
632,0.093288
632.5,0.093019
633,0.092427
633.5,0.09173
634,0.090872
634.5,0.09039
635,0.089749
635.5,0.088896
636,0.087937
636.5,0.086769
637,0.086027
637.5,0.085023
638,0.084178
638.5,0.08323
639,0.082284
639.5,0.08155
640,0.08087
640.5,0.079355
641,0.078054
641.5,0.076911
642,0.075979
642.5,0.074533
643,0.072835
643.5,0.071655
644,0.069764
644.5,0.068746
645,0.067932
645.5,0.066867
646,0.065401
646.5,0.063687
647,0.061931
647.5,0.060431
648,0.059135
648.5,0.058191
649,0.057595
649.5,0.056852
650,0.05611
650.5,0.054827
651,0.052468
651.5,0.050952
652,0.049733
652.5,0.048565
653,0.04774
653.5,0.04682
654,0.046289
654.5,0.045902
655,0.04542
655.5,0.044216
656,0.043064
656.5,0.042106
657,0.04115
657.5,0.040005
658,0.037773
658.5,0.036921
659,0.036165
659.5,0.035363
660,0.034563
660.5,0.033905
661,0.03292
661.5,0.032312
662,0.03161
662.5,0.03133
663,0.030631
663.5,0.030398
664,0.029653
664.5,0.029096
665,0.027751
665.5,0.027242
666,0.026595
666.5,0.026272
667,0.026087
667.5,0.025995
668,0.025304
668.5,0.024752
669,0.024017
669.5,0.023512
670,0.022917
670.5,0.022505
671,0.022185
671.5,0.021683
672,0.020497
672.5,0.020497
673,0.020907
673.5,0.02077
674,0.020179
674.5,0.019724
675,0.019588
675.5,0.019542
676,0.019133
676.5,0.018771
677,0.018499
677.5,0.018453
678,0.018363
678.5,0.018046
679,0.017684
679.5,0.017322
680,0.016464
