Ref_B.csv,.csv,MARQNET\6989thompsz (Thompson, Zach),12/3/2021 9:04:02 AM,SPECTRONIC 200,- - -,- - -
nm,A
400,1.003488
400.5,1.009661
401,1.014125
401.5,1.02365
402,1.031984
402.5,1.040482
403,1.049635
403.5,1.055517
404,1.06098
404.5,1.063486
405,1.066513
405.5,1.071604
406,1.075204
406.5,1.079355
407,1.078834
407.5,1.084073
408,1.087778
408.5,1.091515
409,1.092589
409.5,1.095284
410,1.097997
410.5,1.097997
411,1.099087
411.5,1.098542
412,1.099087
412.5,1.097453
413,1.099633
413.5,1.099087
414,1.100179
414.5,1.097997
415,1.097453
415.5,1.095284
416,1.094204
416.5,1.092589
417,1.090979
417.5,1.086186
418,1.082494
418.5,1.084073
419,1.080399
419.5,1.078314
420,1.071604
420.5,1.071092
421,1.068034
421.5,1.064493
422,1.058489
422.5,1.055024
423,1.053057
423.5,1.049149
424,1.044793
424.5,1.040959
425,1.038105
425.5,1.035269
426,1.032452
426.5,1.029653
427,1.026872
427.5,1.024568
428,1.022734
428.5,1.021363
429,1.018181
429.5,1.015023
430,1.011441
430.5,1.007889
431,1.004804
431.5,1.000435
432,0.998266
432.5,0.995249
433,0.993106
433.5,0.990549
434,0.98843
434.5,0.983803
435,0.982549
435.5,0.979225
436,0.977572
436.5,0.973467
437,0.971022
437.5,0.967784
438,0.96457
438.5,0.958213
439,0.95546
439.5,0.952336
440,0.949234
440.5,0.944622
441,0.941954
441.5,0.937794
442,0.935168
442.5,0.930702
443,0.92775
443.5,0.922632
444,0.917933
444.5,0.912929
445,0.908333
445.5,0.896196
446,0.890759
446.5,0.885723
447,0.881735
447.5,0.877456
448,0.872247
448.5,0.864867
449,0.858237
449.5,0.850473
450,0.845272
450.5,0.837734
451,0.831208
451.5,0.824198
452,0.8173
452.5,0.802719
453,0.79588
453.5,0.787546
454,0.779369
454.5,0.770574
455,0.762959
455.5,0.754734
456,0.745694
456.5,0.737075
457,0.728623
457.5,0.721475
458,0.712646
458.5,0.704213
459,0.696156
459.5,0.689307
460,0.673869
460.5,0.665144
461,0.656986
461.5,0.649171
462,0.641875
462.5,0.635074
463,0.627272
463.5,0.619608
464,0.611721
464.5,0.603626
465,0.596708
465.5,0.588044
466,0.58054
466.5,0.572839
467,0.558305
467.5,0.550059
468,0.542875
468.5,0.535809
469,0.529149
469.5,0.521722
470,0.513853
470.5,0.505289
471,0.497436
471.5,0.489991
472,0.48254
472.5,0.474955
473,0.467246
473.5,0.459671
474,0.443215
474.5,0.434979
475,0.426432
475.5,0.418733
476,0.410497
476.5,0.402524
477,0.393726
477.5,0.385419
478,0.377165
478.5,0.368962
479,0.360613
479.5,0.35164
480,0.342657
480.5,0.333669
481,0.317314
481.5,0.308742
482,0.299642
482.5,0.290815
483,0.282329
483.5,0.274252
484,0.26576
484.5,0.257589
485,0.248952
485.5,0.240483
486,0.232028
486.5,0.223953
487,0.216096
487.5,0.208801
488,0.194703
488.5,0.187354
489,0.180193
489.5,0.173601
490,0.167044
490.5,0.161214
491,0.154902
491.5,0.149293
492,0.143452
492.5,0.137749
493,0.132415
493.5,0.127319
494,0.122456
494.5,0.117532
495,0.109244
495.5,0.105296
496,0.101275
496.5,0.097725
497,0.094474
497.5,0.091247
498,0.087991
498.5,0.084706
499,0.081445
499.5,0.078782
500,0.076342
500.5,0.074327
501,0.072219
501.5,0.07007
502,0.068034
502.5,0.064795
503,0.063587
503.5,0.062081
504,0.060381
504.5,0.058687
505,0.057545
505.5,0.056753
506,0.056209
506.5,0.055172
507,0.054384
507.5,0.0534
508,0.052615
508.5,0.051832
509,0.051489
509.5,0.051294
510,0.051147
510.5,0.050659
511,0.050415
511.5,0.049879
512,0.04983
512.5,0.049684
513,0.049927
513.5,0.04983
514,0.050074
514.5,0.049684
515,0.049781
515.5,0.049586
516,0.049927
516.5,0.050317
517,0.050561
517.5,0.051196
518,0.051978
518.5,0.052713
519,0.053204
519.5,0.053253
520,0.053695
520.5,0.054138
521,0.054531
521.5,0.055369
522,0.056505
522.5,0.057496
523,0.057992
523.5,0.058638
524,0.059384
524.5,0.060231
525,0.06108
525.5,0.061881
526,0.062482
526.5,0.063386
527,0.063989
527.5,0.064846
528,0.065805
528.5,0.066817
529,0.068085
529.5,0.069153
530,0.070428
530.5,0.072168
531,0.073298
531.5,0.074224
532,0.075411
532.5,0.076186
533,0.077015
533.5,0.078574
534,0.079668
534.5,0.080974
535,0.08197
535.5,0.083178
536,0.084178
536.5,0.085287
537,0.08661
537.5,0.089216
538,0.090604
538.5,0.09232
539,0.093827
539.5,0.095555
540,0.096584
540.5,0.097562
541,0.098869
541.5,0.100782
542,0.102593
542.5,0.104246
543,0.106183
543.5,0.107905
544,0.109579
544.5,0.112158
545,0.114017
545.5,0.115828
546,0.117817
546.5,0.119701
547,0.121766
547.5,0.124302
548,0.126447
548.5,0.128894
549,0.130534
549.5,0.132415
550,0.134422
550.5,0.137213
551,0.139662
551.5,0.141944
552,0.147093
552.5,0.150028
553,0.152612
553.5,0.154964
554,0.157703
554.5,0.160145
555,0.163106
