Ref_C.csv,.csv,MARQNET\6989thompsz (Thompson, Zach),12/3/2021 9:04:02 AM,SPECTRONIC 200,- - -,- - -
nm,A
400,0.209926
400.5,0.212681
401,0.215597
401.5,0.218532
402,0.221415
402.5,0.224244
403,0.229001
403.5,0.23114
404,0.234257
404.5,0.236647
405,0.238523
405.5,0.239502
406,0.240257
406.5,0.240937
407,0.241012
407.5,0.241391
408,0.241542
408.5,0.241239
409,0.239502
409.5,0.237772
410,0.235973
410.5,0.232473
411,0.230549
411.5,0.227898
412,0.224681
412.5,0.220837
413,0.21674
413.5,0.212752
414,0.20859
414.5,0.204607
415,0.200315
415.5,0.19552
416,0.190575
416.5,0.185553
417,0.180719
417.5,0.171727
418,0.166789
418.5,0.161088
419,0.155647
419.5,0.151195
420,0.146606
420.5,0.142005
421,0.137272
421.5,0.13324
422,0.128544
422.5,0.124013
423,0.119358
423.5,0.115375
424,0.111091
424.5,0.102868
425,0.099087
425.5,0.095447
426,0.091783
426.5,0.087937
427,0.084336
427.5,0.081498
428,0.079251
428.5,0.077171
429,0.074018
429.5,0.070888
430,0.067831
430.5,0.065552
431,0.063386
431.5,0.058936
432,0.056604
432.5,0.054728
433,0.053008
433.5,0.051391
434,0.049733
434.5,0.047983
435,0.046675
435.5,0.045227
436,0.044072
436.5,0.042728
437,0.041723
437.5,0.04072
438,0.039767
438.5,0.037868
439,0.036874
439.5,0.036448
440,0.03541
440.5,0.034751
441,0.033577
441.5,0.033577
442,0.033295
442.5,0.033155
443,0.032358
443.5,0.031704
444,0.03133
444.5,0.03091
445,0.030631
445.5,0.029514
446,0.029142
446.5,0.028724
447,0.028539
447.5,0.028121
448,0.028214
448.5,0.028214
449,0.028307
449.5,0.027566
450,0.027011
450.5,0.026457
451,0.026549
451.5,0.026641
452,0.026826
452.5,0.026641
453,0.026641
453.5,0.026734
454,0.026595
454.5,0.026134
455,0.025719
455.5,0.025765
456,0.025857
456.5,0.026226
457,0.026226
457.5,0.025949
458,0.025673
458.5,0.025857
459,0.026549
459.5,0.026918
460,0.027196
460.5,0.026872
461,0.026503
461.5,0.026134
462,0.026641
462.5,0.026503
463,0.026826
463.5,0.02641
464,0.027103
464.5,0.026826
465,0.027011
465.5,0.026318
466,0.026549
466.5,0.026826
467,0.027011
467.5,0.02678
468,0.026734
468.5,0.027242
469,0.027566
469.5,0.027612
470,0.027334
470.5,0.027057
471,0.027057
471.5,0.027334
472,0.027473
472.5,0.027751
473,0.027982
473.5,0.028214
474,0.028214
474.5,0.028214
475,0.028307
475.5,0.028168
476,0.028307
476.5,0.028075
477,0.028492
477.5,0.028446
478,0.029328
478.5,0.029096
479,0.029421
479.5,0.029328
480,0.029607
480.5,0.029793
481,0.030305
481.5,0.030631
482,0.030771
482.5,0.030771
483,0.031097
483.5,0.03147
484,0.031844
484.5,0.031564
485,0.031517
485.5,0.031517
486,0.031657
486.5,0.031517
487,0.031657
487.5,0.031984
488,0.033389
488.5,0.033671
489,0.033905
489.5,0.033952
490,0.034422
490.5,0.034187
491,0.034281
491.5,0.034751
492,0.035363
492.5,0.035505
493,0.03541
