lab_6.csv,.csv,MARQNET\6989thompsz (Thompson, Zach),12/3/2021 9:03:51 AM,SPECTRONIC 200,- - -,- - -
nm,A
400,0.50696
400.5,0.508358
401,0.508778
401.5,0.510182
402,0.513145
402.5,0.515558
403,0.519562
403.5,0.520569
404,0.522011
404.5,0.5223
405,0.52491
405.5,0.526367
406,0.527097
406.5,0.526513
407,0.526659
407.5,0.528122
408,0.52959
408.5,0.52959
409,0.529296
409.5,0.528268
410,0.528122
410.5,0.528708
411,0.528708
411.5,0.527975
412,0.52739
412.5,0.526367
413,0.52491
413.5,0.524184
414,0.523603
414.5,0.522879
415,0.521867
415.5,0.520281
416,0.518414
416.5,0.516841
417,0.514705
417.5,0.512155
418,0.511167
418.5,0.509901
419,0.507938
419.5,0.506821
420,0.505845
420.5,0.505011
421,0.503762
421.5,0.502517
422,0.501276
422.5,0.500038
423,0.49853
423.5,0.497027
424,0.495937
424.5,0.494714
425,0.49363
425.5,0.492279
426,0.492009
426.5,0.491336
427,0.491336
427.5,0.491336
428,0.491605
428.5,0.492144
429,0.49174
429.5,0.491066
430,0.490663
430.5,0.490663
431,0.491336
431.5,0.492009
432,0.492414
432.5,0.492549
433,0.49336
433.5,0.494307
434,0.495665
434.5,0.495801
435,0.497163
435.5,0.49812
436,0.499626
436.5,0.501552
437,0.503485
437.5,0.505985
438,0.507659
438.5,0.51159
439,0.513995
439.5,0.517269
440,0.520281
440.5,0.523024
441,0.525929
441.5,0.52959
442,0.533429
442.5,0.537303
443,0.54106
443.5,0.545613
444,0.549597
444.5,0.554707
445,0.558934
445.5,0.568154
446,0.573164
446.5,0.578561
447,0.584359
447.5,0.590574
448,0.596708
448.5,0.602755
449,0.608712
449.5,0.614394
450,0.61997
450.5,0.62672
451,0.635637
451.5,0.643019
452,0.650722
452.5,0.664141
453,0.671009
453.5,0.678402
454,0.68529
454.5,0.692504
455,0.700057
455.5,0.708631
456,0.717151
456.5,0.724919
457,0.733063
457.5,0.740167
458,0.74958
458.5,0.757459
459,0.767258
459.5,0.776245
460,0.794254
460.5,0.801893
461,0.809949
461.5,0.819014
462,0.828566
462.5,0.838033
463,0.846795
463.5,0.855115
464,0.863597
464.5,0.871924
465,0.881405
465.5,0.888737
466,0.898597
466.5,0.906929
467,0.924818
467.5,0.934794
468,0.94424
468.5,0.953115
469,0.962175
469.5,0.97265
470,0.982132
470.5,0.990974
471,1
471.5,1.009661
472,1.017729
472.5,1.028724
473,1.038105
473.5,1.048662
474,1.063486
474.5,1.073658
475,1.08302
475.5,1.093126
476,1.100727
476.5,1.110698
477,1.118615
477.5,1.129596
478,1.139063
478.5,1.149967
479,1.158641
479.5,1.16813
480,1.175874
480.5,1.184422
481,1.202732
481.5,1.21254
482,1.221126
482.5,1.229148
483,1.237321
483.5,1.247184
484,1.25649
484.5,1.263603
485,1.272459
485.5,1.281498
486,1.29243
486.5,1.30103
487,1.308035
487.5,1.314258
488,1.326979
488.5,1.334419
489,1.338187
489.5,1.341035
490,1.344862
490.5,1.350665
491,1.357535
491.5,1.360514
492,1.364516
492.5,1.368556
493,1.374688
493.5,1.377786
494,1.381952
494.5,1.38405
495,1.387216
495.5,1.390406
496,1.392545
496.5,1.394695
497,1.396856
497.5,1.395774
498,1.394695
498.5,1.390406
499,1.38934
499.5,1.38934
500,1.38934
500.5,1.388277
501,1.386158
501.5,1.387216
502,1.383
502.5,1.379864
503,1.378824
503.5,1.378824
504,1.371611
504.5,1.366532
505,1.361511
505.5,1.359519
506,1.356547
506.5,1.350665
507,1.344862
507.5,1.338187
508,1.333482
508.5,1.329754
509,1.326979
509.5,1.316053
510,1.308919
510.5,1.303644
511,1.297569
511.5,1.294136
512,1.289883
512.5,1.283997
513,1.276544
513.5,1.270835
514,1.2652
514.5,1.258848
515,1.252588
515.5,1.246417
516,1.241088
516.5,1.230623
517,1.224754
517.5,1.219683
518,1.21467
518.5,1.209012
519,1.20204
519.5,1.196543
520,1.192465
520.5,1.188425
521,1.181774
521.5,1.175224
522,1.169411
522.5,1.164309
523,1.158641
523.5,1.146302
524,1.140862
524.5,1.136083
525,1.130768
525.5,1.126098
526,1.119758
526.5,1.114074
527,1.107905
527.5,1.102923
528,1.095826
528.5,1.08831
529,1.08197
529.5,1.076756
530,1.071604
530.5,1.059484
531,1.052566
531.5,1.045275
532,1.038105
532.5,1.031984
533,1.025488
533.5,1.019542
534,1.013228
534.5,1.007005
535,0.999132
535.5,0.990974
536,0.982132
536.5,0.974285
537,0.966576
537.5,0.95117
538,0.942334
538.5,0.93442
539,0.927383
539.5,0.920096
540,0.910802
540.5,0.901702
541,0.892112
541.5,0.883392
542,0.874194
542.5,0.864231
543,0.855426
543.5,0.846795
544,0.837436
544.5,0.81673
545,0.805763
545.5,0.795337
546,0.785951
546.5,0.776504
547,0.76675
547.5,0.756466
548,0.746178
548.5,0.735891
549,0.72538
549.5,0.714893
550,0.705534
550.5,0.695725
551,0.685501
551.5,0.674074
552,0.653256
552.5,0.642828
553,0.633204
553.5,0.622694
554,0.613501
554.5,0.603278
555,0.59329
555.5,0.584192
556,0.574629
556.5,0.565271
557,0.555019
557.5,0.545765
558,0.537752
558.5,0.529296
559,0.512155
559.5,0.503624
560,0.496073
560.5,0.487582
561,0.480303
561.5,0.472499
562,0.465974
562.5,0.45892
563,0.451856
563.5,0.445511
564,0.439376
564.5,0.433327
565,0.427477
565.5,0.421705
566,0.410944
566.5,0.405166
567,0.400554
567.5,0.39545
568,0.391367
568.5,0.386898
569,0.383105
569.5,0.379552
570,0.376234
570.5,0.372737
571,0.368962
571.5,0.365523
572,0.36261
572.5,0.360314
573,0.355266
573.5,0.353204
574,0.350957
574.5,0.349207
575,0.346787
575.5,0.344285
576,0.342084
576.5,0.34094
577,0.339799
577.5,0.337809
578,0.336299
578.5,0.335358
579,0.334794
579.5,0.333669
580,0.332174
580.5,0.331428
581,0.331614
581.5,0.330869
582,0.330218
582.5,0.329198
583,0.328549
583.5,0.328364
584,0.328364
584.5,0.328735
585,0.328642
585.5,0.328827
586,0.32892
586.5,0.329105
587,0.330311
587.5,0.330776
588,0.330776
588.5,0.331521
589,0.332267
589.5,0.333669
590,0.334419
590.5,0.335358
591,0.336488
591.5,0.337904
592,0.339609
592.5,0.34075
593,0.342753
593.5,0.344477
594,0.348431
594.5,0.351152
595,0.353989
595.5,0.356646
596,0.359717
596.5,0.36271
597,0.366128
597.5,0.369165
598,0.372634
598.5,0.375821
599,0.378824
599.5,0.382057
600,0.386053
600.5,0.390512
601,0.394479
601.5,0.403293
602,0.407823
602.5,0.412851
603,0.417823
603.5,0.423889
604,0.42934
604.5,0.435334
605,0.441171
605.5,0.447332
606,0.453704
606.5,0.459921
607,0.466864
607.5,0.473661
608,0.481091
608.5,0.495122
609,0.501827
609.5,0.50962
610,0.517698
610.5,0.525784
611,0.533429
611.5,0.541816
612,0.550213
612.5,0.558934
613,0.56655
613.5,0.574955
614,0.582694
614.5,0.591082
615,0.59998
615.5,0.617263
616,0.626169
616.5,0.635637
617,0.644548
617.5,0.653451
618,0.661942
618.5,0.671009
619,0.679438
619.5,0.687823
620,0.696804
620.5,0.704873
621,0.712198
621.5,0.719194
622,0.726304
622.5,0.741602
623,0.74958
623.5,0.756714
624,0.762959
624.5,0.768021
625,0.773142
625.5,0.778064
626,0.782516
626.5,0.787546
627,0.791021
627.5,0.794525
628,0.796423
628.5,0.797784
629,0.798603
629.5,0.799697
630,0.799971
630.5,0.79915
631,0.798057
631.5,0.796423
632,0.793444
632.5,0.790217
633,0.785156
633.5,0.780677
634,0.775208
634.5,0.769807
635,0.763715
635.5,0.757707
636,0.750802
636.5,0.734004
637,0.724458
637.5,0.714443
638,0.704873
638.5,0.694864
639,0.68466
639.5,0.674279
640,0.66374
640.5,0.652085
641,0.639596
641.5,0.626904
642,0.614751
642.5,0.602408
643,0.589898
643.5,0.577903
644,0.553774
644.5,0.541513
645,0.530031
645.5,0.517555
646,0.504733
646.5,0.491336
647,0.479255
647.5,0.467373
648,0.456056
648.5,0.443697
649,0.432151
649.5,0.420216
650,0.409158
650.5,0.397614
651,0.374688
651.5,0.363813
652,0.35389
652.5,0.343423
653,0.332734
653.5,0.322849
654,0.313542
654.5,0.304606
655,0.295764
655.5,0.287014
656,0.278354
656.5,0.269541
657,0.260982
657.5,0.252511
658,0.236198
658.5,0.228927
659,0.221776
659.5,0.214813
660,0.207959
660.5,0.201695
661,0.195111
661.5,0.188693
662,0.182236
662.5,0.176395
663,0.170761
663.5,0.165389
664,0.159957
664.5,0.154778
665,0.144481
665.5,0.139662
666,0.135252
666.5,0.130768
667,0.126273
667.5,0.122456
668,0.118159
668.5,0.114074
669,0.109691
669.5,0.105739
670,0.102373
670.5,0.099251
671,0.096367
671.5,0.09275
672,0.086292
672.5,0.083967
673,0.081655
673.5,0.079251
674,0.076342
674.5,0.074121
675,0.072424
675.5,0.070377
676,0.067526
676.5,0.064896
677,0.063034
677.5,0.061731
678,0.060381
678.5,0.058638
679,0.054531
679.5,0.052713
680,0.050805
