TS_3.csv,.csv,MARQNET\7802volke (Volk, Emmalee),12/3/2021 9:31:41 AM,SPECTRONIC 200,- - -,- - -
nm,A
400,0.400772
400.5,0.404504
401,0.40749
401.5,0.41184
402,0.41533
402.5,0.422278
403,0.42539
403.5,0.428757
404,0.431916
404.5,0.434624
405,0.436163
405.5,0.438064
406,0.439974
406.5,0.441411
407,0.442854
407.5,0.443697
408,0.444785
408.5,0.445269
409,0.446117
409.5,0.444906
410,0.443577
410.5,0.442613
411,0.440572
411.5,0.437588
412,0.435689
412.5,0.43368
413,0.432268
413.5,0.428641
414,0.425853
414.5,0.422278
415,0.418961
415.5,0.415217
416,0.408379
416.5,0.404504
417,0.400663
417.5,0.396531
418,0.392009
418.5,0.388171
419,0.383945
419.5,0.380072
420,0.375099
420.5,0.370998
421,0.36734
421.5,0.363612
422,0.359519
422.5,0.355758
423,0.348625
423.5,0.344381
424,0.340464
424.5,0.336299
425,0.333482
425.5,0.330311
426,0.327533
426.5,0.324222
427,0.321209
427.5,0.318216
428,0.314706
428.5,0.312382
429,0.309893
429.5,0.307682
430,0.302161
430.5,0.299816
431,0.297656
431.5,0.295678
432,0.293709
432.5,0.291834
433,0.290137
433.5,0.287687
434,0.285586
434.5,0.283329
435,0.281747
435.5,0.279841
436,0.278519
436.5,0.276955
437,0.27368
437.5,0.272052
438,0.27043
438.5,0.269218
439,0.26817
439.5,0.266803
440,0.26488
440.5,0.263046
441,0.261775
441.5,0.260428
442,0.260032
442.5,0.258454
443,0.257039
443.5,0.253677
444,0.252355
444.5,0.250573
445,0.249029
445.5,0.247567
446,0.246187
446.5,0.244735
447,0.242832
447.5,0.241467
448,0.239804
448.5,0.238373
449,0.236273
449.5,0.23448
450,0.232993
450.5,0.22959
451,0.227825
451.5,0.226726
452,0.225264
452.5,0.223444
453,0.221053
453.5,0.219107
454,0.216883
454.5,0.215169
455,0.212469
455.5,0.210913
456,0.20866
456.5,0.206908
457,0.204537
457.5,0.200315
458,0.198116
458.5,0.19627
459,0.194024
459.5,0.1926
460,0.19071
460.5,0.188626
461,0.186619
461.5,0.184356
462,0.182765
462.5,0.180719
463,0.179142
463.5,0.17757
464,0.174055
464.5,0.171985
465,0.169861
465.5,0.167747
466,0.165579
466.5,0.163803
467,0.161907
467.5,0.160773
468,0.159204
468.5,0.157765
469,0.155709
469.5,0.153663
470,0.151565
470.5,0.149354
471,0.145815
471.5,0.144239
472,0.141643
472.5,0.140082
473,0.138107
473.5,0.136737
474,0.134422
474.5,0.132533
475,0.13071
475.5,0.128777
476,0.126563
476.5,0.124649
477,0.122629
477.5,0.120675
478,0.116112
478.5,0.114074
479,0.112214
479.5,0.11053
480,0.108574
480.5,0.106682
481,0.104246
481.5,0.102208
482,0.100234
482.5,0.098814
483,0.096693
483.5,0.095014
484,0.09275
484.5,0.088416
485,0.086451
485.5,0.085023
486,0.082862
486.5,0.080922
487,0.078782
487.5,0.077378
488,0.075824
488.5,0.074224
489,0.07227
489.5,0.070734
490,0.069153
490.5,0.06844
491,0.067323
491.5,0.064594
492,0.063084
492.5,0.061831
493,0.060481
493.5,0.059733
494,0.059036
494.5,0.058489
495,0.057595
495.5,0.056604
496,0.055616
496.5,0.05463
497,0.054433
497.5,0.053744
498,0.053106
498.5,0.051978
499,0.051734
499.5,0.051343
500,0.051098
500.5,0.050854
501,0.050805
501.5,0.050561
502,0.050512
502.5,0.050317
503,0.050464
503.5,0.050708
504,0.050561
504.5,0.05022
505,0.050025
505.5,0.050025
506,0.050366
506.5,0.050952
507,0.051343
507.5,0.051245
508,0.051391
508.5,0.051832
509,0.052419
509.5,0.052664
510,0.052811
510.5,0.053302
511,0.053793
511.5,0.054433
512,0.054926
512.5,0.055419
513,0.056555
513.5,0.057199
514,0.057545
514.5,0.057694
515,0.058439
515.5,0.059185
516,0.059683
516.5,0.060131
517,0.06068
517.5,0.061781
518,0.062683
518.5,0.063738
519,0.064795
519.5,0.0653
520,0.066007
520.5,0.066817
521,0.067932
521.5,0.068847
522,0.069815
522.5,0.070734
523,0.071758
523.5,0.072681
524,0.073812
524.5,0.075049
525,0.076135
525.5,0.076808
526,0.07873
526.5,0.080138
527,0.081603
527.5,0.083073
528,0.084125
528.5,0.085234
529,0.086292
529.5,0.087725
530,0.089216
530.5,0.090872
531,0.092481
531.5,0.093827
532,0.094906
532.5,0.097562
533,0.098869
533.5,0.100234
534,0.101659
534.5,0.103198
535,0.104356
535.5,0.105407
536,0.106793
536.5,0.108853
537,0.111035
537.5,0.11334
538,0.115035
538.5,0.116736
539,0.117988
539.5,0.122053
540,0.124302
540.5,0.126156
541,0.127436
541.5,0.129304
542,0.131179
542.5,0.133358
543,0.13537
543.5,0.137511
544,0.139363
544.5,0.141583
545,0.143815
545.5,0.146606
546,0.148742
546.5,0.153601
547,0.156269
547.5,0.158766
548,0.161403
548.5,0.163803
549,0.166917
549.5,0.169475
550,0.172501
550.5,0.174834
551,0.178159
551.5,0.181312
552,0.184622
552.5,0.187087
553,0.190036
553.5,0.196816
554,0.199971
554.5,0.203148
555,0.206559
555.5,0.210208
556,0.214385
556.5,0.218532
557,0.221921
557.5,0.22541
558,0.229443
558.5,0.234257
559,0.238824
559.5,0.243364
560,0.253288
560.5,0.25814
561,0.262569
561.5,0.267204
562,0.27189
562.5,0.276791
563,0.281831
563.5,0.286509
564,0.291409
564.5,0.296279
565,0.301812
565.5,0.307329
566,0.312649
566.5,0.318307
567,0.329661
567.5,0.334982
568,0.340559
568.5,0.346787
569,0.353204
569.5,0.359717
570,0.365221
570.5,0.370081
571,0.375924
571.5,0.382161
572,0.388808
572.5,0.394803
573,0.400772
573.5,0.406714
574,0.418847
574.5,0.425159
575,0.431446
575.5,0.437231
576,0.443818
576.5,0.449283
577,0.454445
577.5,0.459545
578,0.465213
578.5,0.471083
579,0.476124
579.5,0.482145
580,0.48825
580.5,0.500176
581,0.506124
581.5,0.511167
582,0.517269
582.5,0.521867
